"18","How can businesses, both large and small, combat #cybercrime at a price they can afford? Read EY’s latest case stud…",FALSE,1,NA,2019-04-16 08:56:41,TRUE,NA,"1118075728954843137",NA,"<a href=\"http://smarp.com\" rel=\"nofollow\">Smarp.</a>","AFreiling_EY",2,FALSE,FALSE,NA,NA
"19","The @biletabelfast conference kicked off, this morning, with brilliant delegates &amp; incredible research papers #AI…",FALSE,14,NA,2019-04-16 08:53:16,TRUE,NA,"1118074870980579328",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AlRlAlYlElS",4,FALSE,FALSE,NA,NA
"20","RobbinHood Ransomware Claims It's Protecting Your Privacy #cyberattacks…",FALSE,0,NA,2019-04-16 08:49:11,TRUE,NA,"1118073842172297217",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","nlawarp",1,FALSE,FALSE,NA,NA
"21","Here's our quarterly IT Security update from our resident #cybersecurity expert, Jamie Williams looking at the more…",FALSE,1,NA,2019-04-16 08:45:18,TRUE,NA,"1118072865017016320",NA,"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>","NetTech_Farnham",0,FALSE,FALSE,NA,NA
"22","@Fraud_Panel Great to see a strong stance from a bank. Also great to see they are not going to tolerate any self pe…",FALSE,0,"Fraud_Panel",2019-04-16 08:41:41,TRUE,"1118049385487708160","1118071954714570754","2401346497","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Advent_IM_Comms",0,FALSE,FALSE,NA,NA
"23","US Tax time is the best time to prepare yourself to be #secure against #cybercriminals. Make sure you guard your…",FALSE,0,NA,2019-04-16 08:41:05,TRUE,NA,"1118071805779038213",NA,"<a href=\"https://www.oktopost.com\" rel=\"nofollow\">Oktopost</a>","avdrst",0,FALSE,FALSE,NA,NA
"24","“Cybercriminal activity is one of the biggest challenges that humanity will face in the next two decades”, accordin…",FALSE,0,NA,2019-04-16 08:33:16,TRUE,NA,"1118069835076911104",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","EM360Tech",0,FALSE,FALSE,NA,NA
"25","North Korean hackers' evolution on display in US case. \"The technology behind North Korea's cybercrimes is some of…",FALSE,0,NA,2019-04-16 08:27:23,TRUE,NA,"1118068354856685570",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","Rokkex_CH",0,FALSE,FALSE,NA,NA
"26","Attacks on national critical infrastructure are on the rise. Now it’s time for their #security maturity to rise to…",FALSE,0,NA,2019-04-16 08:26:20,TRUE,NA,"1118068090468802560",NA,"<a href=\"http://www.everyonesocial.com\" rel=\"nofollow\">EveryoneSocial</a>","gluyten",1,FALSE,FALSE,NA,NA
"27","Email accounts are a valuable target for cyber criminals. Is your email security up to scratch? #CyberProtect #2FA…",FALSE,1,NA,2019-04-16 08:21:47,TRUE,NA,"1118066944912052224",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","WMPDigitalPCSO",1,FALSE,FALSE,NA,NA
"28","4th #meetup of @cyberpros was all about #cybersecurity and hacking. @PaloAltoNtwks Israel hosted us and gave a very…",FALSE,2,NA,2019-04-16 08:20:40,TRUE,NA,"1118066663906250752",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","cyberpros",0,FALSE,FALSE,NA,NA
"29","#Infographic comparing 2018/2019 showing what happens in an #InternetMinute 😲 #Ecommerce #DigitalTransformation…",FALSE,1,NA,2019-04-16 08:18:42,TRUE,NA,"1118066169271980032",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","WMPDigitalPCSO",0,FALSE,FALSE,NA,NA
"30","#Bayrob #malware gang convicted of infecting over 400,000 computers worldwide, stealing millions through online auc…",FALSE,0,NA,2019-04-16 08:14:45,TRUE,NA,"1118065176941604865",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","drgfragkos",0,FALSE,FALSE,NA,NA
"31","Youth sends explicit pictures to ex-girlfriend after breakup #crimenews…",FALSE,0,NA,2019-04-16 08:13:41,TRUE,NA,"1118064910422773760",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","abntelugutv",0,FALSE,FALSE,NA,NA
"32","Wipro employees Accounts breached, Cloud hopper a Chinese APT that targets managed service providers to use that as…",FALSE,0,NA,2019-04-16 08:13:41,TRUE,NA,"1118064908137041921",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","CyberMahaGuru",3,FALSE,FALSE,NA,NA
"33","People willingly give their #privacy away to #Facebook. So is #privacy dead?",FALSE,1,NA,2019-04-16 08:11:00,TRUE,NA,"1118064232719892480",NA,"<a href=\"https://sproutsocial.com\" rel=\"nofollow\">Sprout Social</a>","VereignAG",0,FALSE,FALSE,NA,NA
"34","Buying on the #DarkEeb? ⚠️ Watch out, you could get more than what you bargained for 😞 #Europol #Scammers #Malware…",FALSE,0,NA,2019-04-16 08:01:38,TRUE,NA,"1118061878025052160",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","WMPDigitalPCSO",0,FALSE,FALSE,NA,NA
"35","Get 10% discount on Hacked Website Recovery for your #ecommerce",FALSE,28,NA,2019-04-16 07:59:30,TRUE,NA,"1118061340910936069",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","iMariaJohnsen",30,FALSE,FALSE,NA,NA
"36","~ Zain Qaider And The Sixty Year Rule: It has been sixty years since pornography has been officially taboo, but onl…",FALSE,0,NA,2019-04-16 07:55:03,TRUE,NA,"1118060220872261634",NA,"<a href=\"https://www.hootsuite.com\" rel=\"nofollow\">Hootsuite Inc.</a>","CyberSecInt",1,FALSE,FALSE,NA,NA
"37","Here it comes #Baldr, a new #stealer on the wild…and on the market. @Malwarebytes #CyberSecurity experts: The…",FALSE,0,NA,2019-04-16 07:53:59,TRUE,NA,"1118059951270912000",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","FBussoletti",1,FALSE,FALSE,NA,NA
"38","#Outsourcing Giant @Wipro Suffers Month Long #DataBreach, Used As Launching Point to Probe &amp; Attack Their Customers…",FALSE,0,NA,2019-04-16 07:52:48,TRUE,NA,"1118059652355362816",NA,"<a href=\"https://ifttt.com\" rel=\"nofollow\">IFTTT</a>","neirajones",1,FALSE,FALSE,NA,NA
