no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,
20,Did the cold and flu make its way into your house this year? @todaysparent shares 5 nutritious &amp; delicious foods th…,FALSE,0,NA,3/5/19 19:30,TRUE,NA,1.10E+18,NA,"<a href=\http://www.falcon.io\"" rel=\""nofollow\"">Falcon Social Media Management </a>""",ideaMuseumMesa,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
21,"With 15% of their staff out and 25% of students in 2 out of 5 schools absent, Wagoner Public Schools officials are…",FALSE,0,NA,3/5/19 19:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.sprinklr.com\"" rel=\""nofollow\"">Sprinklr</a>""",CloroxPro,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
22,"#Sickwhilepregnant? Here are 16 things you can do to help you feel better faster, from the…",FALSE,0,NA,3/5/19 19:11,TRUE,NA,1.10E+18,NA,"<a href=\http://www.hubspot.com/\"" rel=\""nofollow\"">HubSpot</a>""",whpediatrics,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
23,Tips for helping patients manage the #Flu... And here's how US Med-Equip is helping healthcare providers and hospi…,FALSE,0,NA,3/5/19 18:57,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",usmedequip,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
24,The 2018-2019 #fluseason may have peaked as the major nationwide measure of #influenza activity held steady for the…,FALSE,0,NA,3/5/19 18:34,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",ClinRev,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
25,"The #CDC Flu map for week 8 - ending February 23 - shows only Hawaii and Washington, D.C. without widespread influe…",FALSE,0,NA,3/5/19 18:00,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",MMCAP_Online,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
26,Each year #FluSeason comes with a new vaccine to protect against a different strain of the flu virus. #UMaine resea…,FALSE,7,NA,3/5/19 17:30,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",UMaine,4,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
27,Everyone at work (including me) is sniffling and coughing. It’s like we are all back in pre school lol. #fluseason,FALSE,1,NA,3/5/19 17:17,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",GiselleArica,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
28,Don’t let the #flu keep you from celebrating Mardi Gras – there’s still time to get your flu shot! #flushot…,FALSE,0,NA,3/5/19 17:00,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",QualityInsights,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
29,Pineapple and pineapple juice is way more effective than cough syrup and also helps prevent the flu and colds…,FALSE,2,NA,3/5/19 16:57,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",LuvPotion_No9,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
30,Thanks for the holistic remedies but I just got some Oseltamivir Phosphate Capsules. Ill see you in a few days. #Fluseason #Thestarreport,FALSE,43,NA,3/5/19 16:22,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",troitorain,9,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
31,@YaleEIP FluSurv-NET surveillance expertise is on the pulse of CT flu hospitalizations. Week 8 update for the 2018-…,FALSE,3,YaleEIP,3/5/19 16:18,TRUE,NA,1.10E+18,1.02E+18,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",YaleEIP,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
32,"Its flu season, drink plenty of the right fluids and don’t forget to change your toothbrush!…",FALSE,2,NA,3/5/19 16:00,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",RonDinningDMD,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,
