no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
90,"Studies show that vaccine strains grown in eggs tend to mutate over time and that cell-based flu vaccines, which 1s…",FALSE,5,NA,2/28/19 23:18,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,0,FALSE,FALSE,NA,NA,
91,"Caregivers: Children younger than 6 months are at high risk of serious flu complications, but are too young to get…",FALSE,2,NA,2/28/19 23:01,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",HeadStartgov,2,FALSE,FALSE,NA,NA,
92,"It's still flu season. The best way to protect yourself is to get immunized, cover your cough, and wash your hands.…",FALSE,2,NA,2/28/19 21:55,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",AHS_CentralZone,1,FALSE,FALSE,NA,NA,
93,"The @CDCgov's vaccine committee just discussed flu vaccine effectiveness, its safety for pregnant women and revisio…",FALSE,10,NA,2/28/19 21:50,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",AAPNews,7,FALSE,FALSE,NA,NA,
94,"Congratulations and thank you to @jake7bunz who, along with teammate Will Johnson, helped @DHSWI promote the import…",FALSE,1,NA,2/28/19 18:21,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",DHSWI,0,FALSE,FALSE,NA,NA,
95,Atlantic Ultraviolet Has Installed a Sanitaire UV-C Room Air Sanitizer to Protect Occupants from Infection due to F…,FALSE,0,NA,2/28/19 18:05,TRUE,NA,1.10E+18,NA,"<a href=\https://coschedule.com\"" rel=\""nofollow\"">CoSchedule</a>""",AtlanticUVCorp,0,FALSE,FALSE,NA,NA,
96,#FluFact: #Handwashing is one of the simplest ways to prevent the spread of #flu and other illnesses. There is a ri…,FALSE,1,NA,2/28/19 18:02,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",SNHDflu,0,FALSE,FALSE,NA,NA,
97,"If you have #heartdisease, take 3 actions to #FightFlu. 1. Get your flu vaccine. 2. Take everyday preventive act…",FALSE,0,NA,2/28/19 14:53,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",rosscohealth,0,FALSE,FALSE,NA,NA,
100,The best way to prevent a worldwide #flu pandemic starts with solid research. Learn how our infectious disease ex…,FALSE,4,NA,2/28/19 13:05,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",abtassociates,3,FALSE,FALSE,NA,NA,
101,@jillpromoli @4jude4everyone @celliottability @GinettePT @CanPaedSociety @ImmunizedotCa @ChelseaClinton…,FALSE,3,jillpromoli,2/28/19 1:58,TRUE,1.10E+18,1.10E+18,32871593,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",NursesWhoVax,0,FALSE,FALSE,NA,NA,
102,DT Williams to skip bench press at combine - #GoogleAlerts Our 2018 @OutlandTrophy recipien…,FALSE,0,NA,2/28/19 1:08,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,0,FALSE,FALSE,NA,NA,
103,Glad to see that legislators are getting their briefings from #flu experts. We support the quest for a universal f…,FALSE,4,NA,2/27/19 20:22,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",famfightflu,1,FALSE,FALSE,NA,NA,
104,"Are sneezes and sniffles a sign of a cold or flu? Both are contagious and can have similar symptoms. However, colds…",FALSE,12,NA,2/27/19 18:28,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",CAPublicHealth,10,FALSE,FALSE,NA,NA,
105,#DYK how #flu vaccines are made? Our own Dr. Len Friedland goes #behindthescience w/ @PeiSzeCheng4NY of @NBCNewYork…,FALSE,8,NA,2/27/19 18:23,TRUE,NA,1.10E+18,NA,"<a href=\https://prod1.sprinklr.com\"" rel=\""nofollow\"">Sprinklr Publishing</a>""",GSKUS,4,FALSE,FALSE,NA,NA,
106,"@CrispinCuttino While the single best way to #fightflu is to get vaccinated, everyday preventive actions are an imp…",FALSE,1,CDCFlu,2/27/19 18:03,TRUE,1.10E+18,1.10E+18,16616061,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CDCFlu,0,FALSE,FALSE,NA,NA,
107,"“Don’t worry, I woke up feeling better. I’m not sick.” The Center for Disease Control and Prevention says people w…",FALSE,8,NA,2/27/19 17:23,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",NationalPTA,11,FALSE,FALSE,NA,NA,
108,#REPOST via IG: jazmyn_amethyst There’s no way I’m letting the flu ruin my travel plans and neither should you! It…,FALSE,0,NA,2/27/19 17:20,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,0,FALSE,FALSE,NA,NA,
109,The #ACIP reports recent licensure changes in regard to #flu vaccines for young children. #FightFlu,FALSE,1,NA,2/27/19 17:11,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",famfightflu,1,FALSE,FALSE,NA,NA,
110,Want to help your body fight off the flu? Get better sleep. #sleep #flu #fightflu #virus #health…,FALSE,2,NA,2/27/19 17:04,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",MIRAPartners,1,FALSE,FALSE,NA,NA,
111,#ACIP #flu update: @WHO has made their recommendation for flu virus selection for the 2019-2020 influenza season. A…,FALSE,2,NA,2/27/19 16:04,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",famfightflu,1,FALSE,FALSE,NA,NA,
112,"Like winter, ❄️ flu season isn’t over yet. If flu's caught up to you remember to cough or sneeze into the bend of…",FALSE,4,NA,2/27/19 15:55,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",CPHO_Canada,1,FALSE,FALSE,NA,NA,
113,Think the flu season is over? Think again! But it's not too late to protect yourself &amp; everyone around you from ser…,FALSE,0,NA,2/27/19 15:55,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",DHSWI,0,FALSE,FALSE,NA,NA,
114,"#DYK: During the 2017-2018 #flu season, 185 children died due to flu and related complications? Download the #NFID…",FALSE,1,NA,2/27/19 15:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,1,FALSE,FALSE,NA,NA,
115,Want to learn more about #personalhealth? ✔ this out. #NHES Std. 1 and Std. 7 #fightflu,FALSE,0,NA,2/27/19 11:56,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",slsshonna,0,FALSE,FALSE,NA,NA,
116,"“Jude died from influenza B. The flu. That doesn’t sound so bad, right? Just an ordinary illness that everyone gets…",FALSE,17,NA,2/27/19 3:32,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",drfixus,4,FALSE,FALSE,NA,NA,
117,Flu is unpredictable! H1N1 has been the dominant flu strain this season but reports indicate that H3N2 now account…,FALSE,4,NA,2/27/19 2:11,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",famfightflu,5,FALSE,FALSE,NA,NA,NA
118,\An infant from North Jersey died from #flu complications in January,".. the third child in New Jersey to die from f…""",FALSE,10,NA,2/27/19 0:30,TRUE,NA,1.10E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",DrPanMD,4,FALSE,FALSE,NA,
119,Our Twitter Takeover highlighting children and flu with Dr. Swanson has been postponed. A new date and time for thi…,FALSE,25,NA,2/27/19 0:28,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CDCFlu,14,FALSE,FALSE,NA,NA,
120,North Gwinnett grad Mitch Hyatt lives in the moment while preparing for the NFL Combine -,FALSE,4,NA,2/26/19 23:16,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,3,FALSE,FALSE,NA,NA,
121,"#REPOST via IG: lepashandi If you still need to #getyourflushot, it’s not too late! Up to 50 million in the US get…",FALSE,1,NA,2/26/19 23:09,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,1,FALSE,FALSE,NA,NA,
122,UH's Ed Oliver expected to dominate NFL scouting combine,FALSE,7,NA,2/26/19 23:09,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",outlandtrophy,2,FALSE,FALSE,NA,NA,
123,"If you are planning to visit the hospital, please be aware that flu restrictions are in place. These restrictions,…",FALSE,5,NA,2/26/19 21:28,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",dukeraleigh,1,FALSE,FALSE,NA,NA,
124,"Did you know that even as a young, healthy adult, you can still be very susceptible to the flu? Check out the video…",FALSE,1,NA,2/26/19 21:00,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",healthycampus,0,FALSE,FALSE,NA,NA,
125,"Fever, aches, and cough? It could mean #flu. Review the full list of symptoms and see your doctor if you are very…",FALSE,8,NA,2/26/19 19:01,TRUE,NA,1.10E+18,NA,"<a href=\https://studio.twitter.com\"" rel=\""nofollow\"">Twitter Media Studio</a>""",CDCDirector,7,FALSE,FALSE,NA,NA,
126,#TwitterTakeover Alert! Tune in tomorrow at 10:30 am ET/7:30 am PT for pediatrician @SeattleMamaDoc’s takeover of…,FALSE,17,NA,2/26/19 18:32,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",CDCgov,10,FALSE,FALSE,NA,NA,
127,"#FluTip: If you are at high risk for #flu complications, your #healthcareprovider can prescribe antiviral medicatio…",FALSE,0,NA,2/26/19 18:12,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",TuSNHD,0,FALSE,FALSE,NA,NA,
128,"Headaches, fatigue, &amp; fever are all symptoms of #flu. Learn more about the differences between cold &amp; #flu:…",FALSE,3,NA,2/26/19 18:01,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",NFIDvaccines,4,FALSE,FALSE,NA,NA,
130,"Worried that you could get the flu from a flu shot? The flu vaccine is made with dead flu viruses, so it can’t giv…",FALSE,1,NA,2/26/19 17:01,TRUE,NA,1.10E+18,NA,"<a href=\https://www.socialreport.com\"" rel=\""nofollow\"">SocialReport.com</a>""",stopflunow,1,FALSE,FALSE,NA,NA,
131,Influenza: could be one less thing your child brings home this winter. Protect them and yourself. More info:…,FALSE,0,NA,2/26/19 16:05,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",AHS_NorthZone,0,FALSE,FALSE,NA,NA,
132,Abt’s Sarah Ball is part of a #globalcommunity of researchers invested in #FluResearch. Learn how she’s working t…,FALSE,8,NA,2/26/19 15:30,TRUE,NA,1.10E+18,NA,"<a href=\https://sproutsocial.com\"" rel=\""nofollow\"">Sprout Social</a>""",abtassociates,4,FALSE,FALSE,NA,NA,
133,Nebraska near top of list for reported flu cases as cold weather persists - #FightFlu,FALSE,4,NA,2/26/19 15:21,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",famfightflu,5,FALSE,FALSE,NA,NA,
