no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,
22,Plan for absences that keep students on their academic path with sub plans for the digital age!…,FALSE,10,NA,3/7/19 16:02,TRUE,NA,1.10369E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",traceymikos,1,FALSE,FALSE,NA,NA,,
23,"The Flu Season is not over; the CDC says it's not too late to get a flu shot to protect yourself, family members, f…",FALSE,0,NA,3/7/19 15:33,TRUE,NA,1.10368E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",JohnGBaresky,0,FALSE,FALSE,NA,NA,,
26,"A new @CDCgov study shows the flu vaccine prevented more than 7 million flu illnesses, 109,000 flu hospitalizations…",FALSE,0,NA,3/7/19 14:30,TRUE,NA,1.10366E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",WV_DHHR,1,FALSE,FALSE,NA,NA,,
27,Another McClure's Choice article posted at our website.....this one about Flu Season possibly peaking for 2019?! C…,FALSE,0,NA,3/7/19 14:01,TRUE,NA,1.10366E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",MCCInternalMed,0,FALSE,FALSE,NA,NA,,
28,Trying my best even with a cold. And my teacher loves that i already have the #festivalfever in the middle of the…,FALSE,0,NA,3/7/19 13:48,TRUE,NA,1.10365E+18,NA,"<a href=\https://mobile.twitter.com\"" rel=\""nofollow\"">Twitter Web App</a>""",Fuckedistaken,0,FALSE,FALSE,NA,NA,,
29,How are you managing your staff absences during the cold and flu season? #StaffAbsence #FluSeason #StaffPlanning,FALSE,0,NA,3/7/19 10:01,FALSE,NA,1.1036E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",activpeoplehr,0,FALSE,FALSE,NA,NA,,
31,"Whilst most of us don't like to admit defeat when we're ill, the most considerate thing we can do to avoid sharing…",FALSE,0,NA,3/7/19 7:56,TRUE,NA,1.10356E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",WooshWashrooms,0,FALSE,FALSE,NA,NA,,
32,Hope you like pedialyte. #parenting #fluseason,FALSE,0,NA,3/7/19 4:55,FALSE,NA,1.10352E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",BrookeManolis,0,FALSE,FALSE,NA,NA,,
33,Dr. James Lin shares 5 tips for staying healthy when others are sick. ➔ #fluseason,FALSE,5,NA,3/7/19 3:00,FALSE,NA,1.10349E+18,NA,"<a href=\https://www.sprinklr.com\"" rel=\""nofollow\"">Sprinklr</a>""",sharphealthcare,0,FALSE,FALSE,NA,NA,,
34,i am feeling much better so my darling and our youngest are now sick. #familyties #fluseason #hadtheshot SO to my…,FALSE,1,NA,3/7/19 2:13,TRUE,NA,1.10348E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",itsanancything,0,FALSE,FALSE,NA,NA,,
35,Do you have enough #VitaminC? 🍊 #cold #cough #fluseason #allergyseason #boost #immunesystem #immune #boostpower #flu,FALSE,1,NA,3/7/19 1:26,FALSE,NA,1.10347E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",GetBoostPower,0,FALSE,FALSE,NA,NA,,
36,Worried about germs at work? Ask your office manager or HR department to install a waterless hand-washing station.…,FALSE,0,NA,3/7/19 0:58,TRUE,NA,1.10346E+18,NA,"<a href=\http://www.facebook.com/twitter\"" rel=\""nofollow\"">Facebook</a>""",CCAquaticCenter,0,FALSE,FALSE,NA,NA,,
37,This flu is completely savage and as the caregiver for someone fighting cancer I can not be too careful. I don’t re…,FALSE,0,NA,3/7/19 0:14,TRUE,NA,1.10345E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",britishemily78,0,FALSE,FALSE,NA,NA,,
39,How to protect yourself from the #flu! #FluSeason,FALSE,0,NA,3/6/19 21:40,FALSE,NA,1.10341E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",StayYoungMedia,0,FALSE,FALSE,NA,NA,,
40,Moms and doctor visits go hand in hand. You think after all these doctor visits that I’d be a certified nurse.…,FALSE,0,NA,3/6/19 21:03,TRUE,NA,1.1034E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",victoriaf_c,0,FALSE,FALSE,NA,NA,,
41,Knowing that Vince Herbert is now facing eviction and bouncing checks has actually made me feel better - I'll see y…,FALSE,39,NA,3/6/19 20:40,TRUE,NA,1.1034E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",troitorain,10,FALSE,FALSE,NA,NA,,
42,"Just a reminder- the flu season isn't over yet... it can actually last into May! Make sure you avoid the flu, this…",FALSE,0,NA,3/6/19 19:44,TRUE,NA,1.10338E+18,NA,"<a href=\http://www.salesforce.com\"" rel=\""nofollow\"">Salesforce - Social Studio</a>""",BurtonandCo1891,0,FALSE,FALSE,NA,NA,,
43,"PUSH through #fluseason with Karma 💪🏼Vitamins, superfruits + probiotics are kept at their MAX potency in our KarmaC…",FALSE,1,NA,3/6/19 19:20,TRUE,NA,1.10337E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",drinkkarma,2,FALSE,FALSE,NA,NA,,
44,"Tip for improving quality of #patientcare: hand hygiene! Wash, dry, repeat! #fluseason #washyourhands #health #hospital #stayhealthy",FALSE,0,NA,3/6/19 19:08,FALSE,NA,1.10337E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",MariaRyanNH,0,FALSE,FALSE,NA,NA,,
45,Got told to take off the rest of the week by a doctor cause i have pneumonia and the flu. I feel fine so i went and…,FALSE,1,NA,3/6/19 18:41,TRUE,NA,1.10336E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Nobilletee,0,FALSE,FALSE,NA,NA,,
46,Cold and #FluSeason: 5 Ways to Care for Your Mouth When You’re Sick from @AmerDentalAssn…,FALSE,0,NA,3/6/19 17:45,TRUE,NA,1.10335E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",PSPTampa,0,FALSE,FALSE,NA,NA,,
47,"With the #FluSeason winding down and #SpringCleaning on the horizon, it may be a good time to offer an additional c…",FALSE,3,NA,3/6/19 17:22,TRUE,NA,1.10335E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CleanTelligent1,2,FALSE,FALSE,NA,NA,,
48,#FluSeason bed rest per the doctor ☹️,FALSE,0,NA,3/6/19 17:07,FALSE,NA,1.10334E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",mtlearned1,0,FALSE,FALSE,NA,NA,,
49,Hey #CarsonCity! It's not too late to protect yourself and those around you! #FluSeason #ValueCHCs…,FALSE,0,NA,3/6/19 17:00,TRUE,NA,1.10334E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",NVPCA,0,FALSE,FALSE,NA,NA,,
50,Our team went to El Paso last week for an exciting reason! Stay tuned for an exciting announcement coming soon!…,FALSE,7,NA,3/6/19 16:40,TRUE,NA,1.10333E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Urgentcarekids,2,FALSE,FALSE,NA,NA,,
