no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,
162,"If you haven’t gotten your #flushot, do it right away. #Influenza is still very active in the US.",FALSE,0,NA,2/26/19 16:25,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",DrZoroufy,0,FALSE,FALSE,NA,NA,
164,Actually #vaccines do cause autism asthma ADHD SIDS seizures other chronic auto-immune ills extreme fatigue also in…,FALSE,3,NA,2/26/19 15:37,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",CollChris,0,FALSE,FALSE,NA,NA,
165,"@DocBastard @takeatoothbrush @MrsAmes84 @HonestMum Herd immunity is impossible with vaccines, but the herd immunity…",FALSE,0,CoercedTaxSlave,2/26/19 13:50,TRUE,1.10E+18,1.10E+18,32517621,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
167,@Slate What do Parents do when their child is damaged or die from a vaccine following the Fake Measles Outbreaks pu…,FALSE,0,Slate,2/26/19 6:57,TRUE,1.10E+18,1.10E+18,15164565,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",lite_crypto,0,FALSE,FALSE,NA,NA,
168,@TheSciBabe Except mine! #Pulmonary #medicine for life! Get yo #flushot!,FALSE,0,TheSciBabe,2/26/19 5:30,FALSE,1.10E+18,1.10E+18,557068003,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",ty_the_np,0,FALSE,FALSE,NA,NA,
169,@DocBastard @takeatoothbrush @MrsAmes84 @HonestMum Another measles outbreak in a school with 98% documented vaccina…,FALSE,0,DocBastard,2/26/19 5:25,TRUE,1.10E+18,1.10E+18,468669904,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
170,Did your doctor tell you the #FluShot INCREASES respiratory issues 4.4 times? #STUDY: Increased Risk of Noninflue…,FALSE,11,NA,2/26/19 3:23,TRUE,NA,1.10E+18,NA,"<a href=\http://ViraBurnayeva.com\"" rel=\""nofollow\"">Vaccines and Homeopathy News</a>""",ViraBurnayeva,10,FALSE,FALSE,NA,NA,
171,@ElvisBadgerchap A gal told me she won't get a #flushot because her *MOTHER* always got sick from them. OK. She go…,FALSE,1,MeyersEA1,2/26/19 0:45,TRUE,1.10E+18,1.10E+18,3271550508,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",MeyersEA1,0,FALSE,FALSE,NA,NA,
172,@drfixus @LisaCostelloWV The #flushot increases risk of contracting influenza in subsequent seasons AND increases r…,FALSE,4,drfixus,2/26/19 0:38,TRUE,1.10E+18,1.10E+18,323869695,"<a href=\http://twitter.com/#!/download/ipad\"" rel=\""nofollow\"">Twitter for iPad</a>""",OR4MedFreedom,0,FALSE,FALSE,NA,NA,
173,@DocBastard @takeatoothbrush @MrsAmes84 @HonestMum Here is the study. Measles vaccine failure with vaccinated sprea…,FALSE,0,DocBastard,2/26/19 0:09,TRUE,1.10E+18,1.10E+18,468669904,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,
174,Is the effectiveness of your flu shot lessening as the flu season continues? from @WebMD #flu #flushot #vaccine,FALSE,0,NA,2/25/19 22:43,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",partnercomm,0,FALSE,FALSE,NA,NA,
175,@HealthNYGov reports widespread #flu activity in NY. 41 children have died from #flu this season. It’s not too late…,FALSE,0,HealthNYGov,2/25/19 22:32,TRUE,NA,1.10E+18,123926499,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",NYSAAPCH2,0,FALSE,FALSE,NA,NA,
177,"@SenatorCollins just a reminder, there are millions of US kids &amp; vaccine mandates effect families who choose a spa…",FALSE,0,SenatorCollins,2/25/19 21:53,TRUE,NA,1.10E+18,19726613,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Autumn81725578,0,FALSE,FALSE,NA,NA,
178,"@SenatorTimScott just a reminder, there are millions of US kids &amp; vaccine mandates effect families who choose a sp…",FALSE,0,SenatorTimScott,2/25/19 21:52,TRUE,NA,1.10E+18,217543151,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",Autumn81725578,0,FALSE,FALSE,NA,NA,
