no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,
21,cumma' Ntonetta: ...she didn’t count the days #motivation #startup #AMR #WGS #FutureofWork #PrecisionMedicine…,FALSE,3,NA,3/8/19 1:29,TRUE,NA,1.10E+18,NA,"<a href=\https://studio.twitter.com\"" rel=\""nofollow\"">Twitter Media Studio</a>""",RDxWhatElse,7,FALSE,FALSE,NA,NA,,
22,"When you want to go ski, but you get round two of the flu.....#xcskiing #flu #restandrecovery #racing brlsports ros…",FALSE,0,NA,3/8/19 1:17,TRUE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",KilroyG,0,FALSE,FALSE,NA,NA,,
23,"Here we go with unsupportable hype. \superflu\"". Sigh. Oh. By the way. One part isn't hype. #Flu kills people Every.…""",FALSE,5,NA,3/8/19 1:16,TRUE,NA,1.10E+18,NA,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",MackayIM,6,FALSE,FALSE,NA,NA,,
24,My sweetheart Petey snuggling with me while I'm sick. #chinesecrested #dogsofinstagram #flu,FALSE,0,NA,3/8/19 1:10,FALSE,NA,1.10E+18,NA,"<a href=\http://instagram.com\"" rel=\""nofollow\"">Instagram</a>""",ellenjules,0,FALSE,FALSE,NA,NA,,
25,"What could possibly go wrong? RT #Scientists Resume Efforts To Create Deadly #Flu #Virus, With American Government'…",FALSE,42,NA,3/8/19 1:10,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HighWireTalk,34,FALSE,FALSE,NA,NA,,
26,@emartinez78987 @nybybirth @AlanFreestone I tell you what. Show me the double blind INERT placebo safety studies of…,FALSE,1,emartinez78987,3/8/19 1:07,TRUE,1.10E+18,1.10E+18,9.86E+17,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",CoercedTaxSlave,0,FALSE,FALSE,NA,NA,,
27,"Hey all, due to the recent flu outbreak we are canceling school tomorrow thanks for understanding. #flu #NoSchool",FALSE,1,NA,3/8/19 1:07,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",SussexTekh,0,FALSE,FALSE,NA,NA,,
28,"Fed up can't sleep. It's 1am , I've got work tomorrow and I can't breathe. #cold #flu #badTimes",FALSE,0,NA,3/8/19 1:03,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",cheeky_rugbylad,0,FALSE,FALSE,NA,NA,,
29,#Fluseason is upon us and germs are coming at us from all directions. It's well worth arming yourself against aches…,FALSE,0,NA,3/8/19 1:01,TRUE,NA,1.10E+18,NA,"<a href=\http://hearsaysystems.com\"" rel=\""nofollow\"">Hearsay Social</a>""",danders_coop,0,FALSE,FALSE,NA,NA,,
31,The flu took me down for a while. Getting better though. Hope everyone else is feeling okay. #Flu #FluSeason #Eww,FALSE,0,NA,3/8/19 0:54,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",ArnettaReed14,0,FALSE,FALSE,NA,NA,,
