no,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,,,,,,,,,,,,,,,,,,,,,,
18,&gt; 7500 UNACCOMPANIED kids showed up at the border last month- how many doctors do we need to test them all for…,FALSE,0,NA,3/6/19 0:30,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",time_to_bounce,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
19,Day 2 of the #flu 😷 and no voice. I am impatiently resting so I can get back to normal. I don’t do sick and temp of…,FALSE,0,NA,3/6/19 0:19,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",jessrichter_cpa,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
20,Elevate the #Flu baseline. Summer has technically ended in Australia and Flu spent all of it being abnormally acti…,FALSE,5,NA,3/6/19 0:12,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",MackayIM,4,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
21,"We’re on Day 3 of the #flu with the 6yo, Day 1 with the 5yo. Their dad is sick. The babysitter (who is v preg)is si…",FALSE,0,NA,3/5/19 23:39,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",ginskeyftw,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
22,"@ToddHagopian Btw, I haven't had a #FLU vaccine since my discharge from the #Navy and I haven't had the flu since!…",FALSE,4,AJOatsvall,3/5/19 23:38,TRUE,1.10E+18,1.10E+18,460694384,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",AJOatsvall,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
23,"The 2018-2019 #flu season marches on, and it's not too late to get the flu shot. Read on to learn why it's still im…",FALSE,1,NA,3/5/19 23:31,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",BelmontVillage_,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
24,Does the #flu always come with a #fever? Not necessarily. Learn more: @mnt,FALSE,0,NA,3/5/19 23:30,FALSE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",OhMyAllergy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
25,The Flu season can last until May. Take these precautions to prevent the #flu and protect your health:…,FALSE,0,NA,3/5/19 23:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",FHMC_NYC,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
26,Between 5% and 20% of people in the U.S. get the #flu each year. Get #vaccinated today and learn more about flu pre…,FALSE,0,NA,3/5/19 23:30,TRUE,NA,1.10E+18,NA,"<a href=\https://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite Inc.</a>""",sickweather,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
27,Wash your hands folks! @Allegheny_Co has the second highest number of #flu cases in Pennsylvania. #Flushot…,FALSE,0,NA,3/5/19 23:18,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>""",DavidSpurgeon4J,1,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
28,"Viruses are responsible for colds and #flu, so antibiotics are not able to cure or prevent these illnesses. Plenty…",FALSE,0,NA,3/5/19 23:12,TRUE,NA,1.10E+18,NA,"<a href=\https://buffer.com\"" rel=\""nofollow\"">Buffer</a>""",burtspharmacy,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
29,#Fluseason is here. Germs are everywhere. Even in your car. Disinfecting wipes help clean bacteria-prone surfaces l…,FALSE,1,NA,3/5/19 23:00,TRUE,NA,1.10E+18,NA,"<a href=\http://hearsaysystems.com\"" rel=\""nofollow\"">Hearsay Social</a>""",jeanettespinel1,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
30,I think she's finally over it. I think she was milking it towards the end. #flu #barfbag,FALSE,1,NA,3/5/19 22:54,FALSE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",therealTyBeach,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
31,"Scientists Resume Efforts To Create Deadly #Flu #Virus, With US Government's Blessing | @scoopit",FALSE,0,NA,3/5/19 22:49,FALSE,NA,1.10E+18,NA,"<a href=\http://www.scoop.it\"" rel=\""nofollow\"">Scoop.it</a>""",cupton1,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
32,"Give me ALL the flu tips except for medication. My son is 7, has the flu for the first time. He has Mastocytosis,…",FALSE,87,NA,3/5/19 22:42,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>""",Wethepeoplehope,30,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
33,"Don't forget that #vaccines are considered preventive care, and are covered 100% by most insurance plans! Protect y…",FALSE,0,NA,3/5/19 22:34,TRUE,NA,1.10E+18,NA,"<a href=\http://twitter.com\"" rel=\""nofollow\"">Twitter Web Client</a>""",HealthLitMedia,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
34,"@Barnsy_Lisa @MiloWh007 @6PR My sympathies!!! Full on #flu is nothing to be sneezed at, that's for sure.",FALSE,1,Barnsy_Lisa,3/5/19 22:33,FALSE,1.10E+18,1.10E+18,29326170,"<a href=\https://about.twitter.com/products/tweetdeck\"" rel=\""nofollow\"">TweetDeck</a>""",MackayIM,0,FALSE,FALSE,NA,NA,,,,,,,,,,,,,,,,,,,,,,
